gbpaud,gbpdkk,gbpsek
1.8332,8.5026,11.8781
1.8334,8.5031,11.8774
1.8335,8.5035,11.8797
1.8335,8.5064,11.879
1.8335,8.5059,11.8781
1.833,8.5055,11.8771
1.8331,8.5059,11.876
1.8329,8.5058,11.88
1.8331,8.505,11.8792
1.8335,8.5048,11.8784
1.8333,8.5043,11.8776
1.8333,8.5055,11.8772
1.8334,8.5048,11.8806
1.8328,8.5051,11.8822
1.833,8.5047,11.8798
1.8332,8.5037,11.8794
1.8331,8.5042,11.8761
1.833,8.5047,11.8754
1.833,8.5051,11.8735
1.833,8.5047,11.8726
1.833,8.5034,11.8687
1.8328,8.504,11.8713
1.8328,8.5033,11.8671
1.8321,8.5025,11.8703
1.8325,8.5013,11.8703
1.8324,8.5014,11.8698
1.8323,8.501,11.869
1.8325,8.5021,11.8689
1.8324,8.5023,11.8662
1.8323,8.5022,11.8655
1.8324,8.5025,11.8668
1.8327,8.5011,11.8653
1.8324,8.501,11.8617
1.8324,8.5007,11.8614
1.8328,8.501,11.869
1.8329,8.5004,11.8694
1.8327,8.5011,11.8654
1.8326,8.5016,11.864
1.8327,8.5013,11.8627
1.8326,8.5012,11.8634
1.8326,8.5009,11.8634
1.8324,8.501,11.8617
1.8326,8.501,11.8627
1.8326,8.5006,11.8703
1.8325,8.5005,11.8645
1.8325,8.5002,11.8652
1.8324,8.4996,11.8654
1.8326,8.4995,11.865
1.8327,8.5001,11.8662
1.8327,8.5002,11.8664
1.8328,8.5,11.8643
1.8329,8.5002,11.8688
1.8329,8.5,11.8703
1.8329,8.4996,11.8693
1.8328,8.4994,11.8706
1.8329,8.4992,11.8692
1.8331,8.4992,11.8674
1.8336,8.4998,11.8674
1.8336,8.5002,11.8696
1.8333,8.5,11.8705
1.8337,8.5001,11.869
1.8332,8.5003,11.8696
1.8332,8.4999,11.8688
1.833,8.5013,11.8689
1.8331,8.5015,11.8682
1.8333,8.5014,11.8693
1.8333,8.501,11.8678
1.8331,8.5006,11.8645
1.8334,8.5003,11.8631
1.834,8.4999,11.8718
1.8346,8.5013,11.8696
1.8349,8.5011,11.8713
1.8344,8.499,11.8709
1.8346,8.4986,11.8684
1.8344,8.5052,11.8672
1.8363,8.5038,11.865
1.8334,8.5044,11.8655
1.8341,8.5048,11.8654
1.8349,8.5021,11.8654
1.8346,8.5015,11.8662
1.834,8.5008,11.8657
1.8333,8.5007,11.8669
1.8323,8.5007,11.8657
1.8316,8.5001,11.8653
1.8315,8.5012,11.8665
1.8314,8.5009,11.8659
1.8314,8.5017,11.8662
1.8317,8.5008,11.866
1.8318,8.5007,11.8662
1.832,8.5011,11.8673
1.8325,8.5013,11.8676
1.8325,8.5017,11.8681
1.8326,8.5014,11.8672
1.8321,8.5014,11.867
1.8318,8.5021,11.867
1.8325,8.5031,11.8676
1.8331,8.5033,11.8673
1.833,8.5029,11.8662
